food_name,category,calories,protein,carbs,fat,fiber,sugar,sodium,potassium,vitamin_c,calcium,iron,is_indian,region,cooking_method,spice_level,protein_ratio,fat_ratio,carb_ratio,health_score,diabetic_friendly,heart_friendly,weight_loss_friendly,muscle_gain_friendly,bmi_friendly_category
"Apple, candied",Apples,134.0,1.34,29.61,2.15,0.0,0.0,0.0,0.0,3.6,0.0,0.12,False,International,Various,Mild,0.04,0.065,0.895,42.6,False,True,False,False,low_density
"Apple, raw",Apples,61.0,0.17,14.8,0.15,0.0,0.0,0.0,0.0,4.6,0.0,0.03,False,International,Various,Mild,0.011,0.01,0.979,41.3,True,True,False,False,low_density
"Apple, dried",Dried fruits,243.0,0.93,65.89,0.32,0.0,0.0,0.0,0.0,3.9,0.0,1.4,False,International,Various,Mild,0.014,0.005,0.981,43.2,False,True,False,False,moderate_density
"Crisp, apple",Cakes and pies,215.0,2.81,30.18,9.59,0.0,0.0,0.0,0.0,0.6,0.0,1.0,False,International,Various,Mild,0.066,0.225,0.709,39.0,False,True,False,False,moderate_density
"Apple, baked",Apples,113.0,0.32,22.7,3.08,0.0,0.0,0.0,0.0,3.9,0.0,0.19,False,International,Various,Mild,0.012,0.118,0.87,38.7,True,True,False,False,low_density
Apple cider,Apple juice,46.0,0.1,11.3,0.13,0.0,0.0,0.0,0.0,0.9,0.0,0.12,False,International,Various,Mild,0.009,0.011,0.98,40.4,True,True,False,False,low_density
"Cobbler, apple",Cakes and pies,217.0,2.05,33.56,8.66,0.0,0.0,0.0,0.0,0.6,0.0,0.98,False,International,Various,Mild,0.046,0.196,0.758,37.6,False,True,False,False,moderate_density
"Croissants, apple",Baked Products,1060.0,7.4,37.1,8.7,0.0,0.0,0.0,0.0,0.5,0.0,1.1,False,International,Various,Mild,0.139,0.164,0.697,53.6,False,True,False,False,high_density
"Pie, apple",Cakes and pies,296.0,2.7,37.55,15.28,0.0,0.0,0.0,0.0,0.5,0.0,1.23,False,International,Various,Mild,0.049,0.275,0.676,32.9,False,False,False,False,moderate_density
"Strudel, apple",Cakes and pies,281.0,1.96,37.18,14.08,0.0,0.0,0.0,0.0,0.5,0.0,0.3,False,International,Various,Mild,0.037,0.265,0.699,31.9,False,False,False,False,moderate_density
Apple pie filling,Apples,100.0,0.1,26.1,0.1,0.0,0.0,0.0,0.0,1.7,0.0,0.29,False,International,Various,Mild,0.004,0.004,0.992,40.5,False,True,False,False,low_density
"Apple juice, 100%",Apple juice,48.0,0.09,11.34,0.25,0.0,0.0,0.0,0.0,38.6,0.0,0.06,False,International,Various,Mild,0.008,0.021,0.971,47.7,True,True,False,False,low_density
Apple salad with dressing,Other fruits and fruit salads,180.0,1.45,12.2,14.24,0.0,0.0,0.0,0.0,3.4,0.0,0.28,False,International,Various,Mild,0.052,0.511,0.437,30.8,True,False,False,False,moderate_density
"Cake or cupcake, apple",Cakes and pies,376.0,2.41,52.52,17.5,0.0,0.0,0.0,0.0,0.2,0.0,0.9,False,International,Various,Mild,0.033,0.242,0.725,29.8,False,False,False,False,high_density
"Fruit butters, apple",Sweets,173.0,0.39,42.5,0.3,0.0,0.0,0.0,0.0,0.6,0.0,0.31,False,International,Various,Mild,0.009,0.007,0.984,41.0,False,True,False,False,moderate_density
"Rose-apples, raw",Fruits and Fruit Juices,105.0,0.6,5.7,0.3,0.0,0.0,0.0,0.0,22.3,0.0,0.07,False,International,Various,Mild,0.091,0.045,0.864,46.0,True,True,False,False,low_density
"Carrots, raw, salad with apples","Coleslaw, non-lettuce salads",181.0,0.85,8.59,16.02,0.0,0.0,0.0,0.0,6.4,0.0,0.16,False,International,Various,Mild,0.033,0.629,0.337,27.8,True,False,False,False,moderate_density
"Banana, baked",Bananas,161.0,0.82,32.43,3.21,0.0,0.0,0.0,0.0,10.4,0.0,0.06,False,International,Various,Mild,0.022,0.088,0.889,41.3,False,True,False,False,moderate_density
"Banana, raw",Bananas,97.0,0.74,22.71,0.28,0.0,0.0,0.0,0.0,12.0,0.0,0.0,False,International,Various,Mild,0.031,0.012,0.957,44.3,True,True,False,False,low_density
Banana chips,Dried fruits,519.0,2.3,58.4,33.6,0.0,0.0,0.0,0.0,6.3,0.0,1.25,False,International,Various,Mild,0.024,0.356,0.619,14.6,False,False,False,False,high_density
Banana nectar,Fruit drinks,74.0,0.26,18.01,0.13,0.0,0.0,0.0,0.0,4.3,0.0,0.0,False,International,Various,Mild,0.014,0.007,0.979,41.5,True,True,False,False,low_density
Banana pudding,Pudding,160.0,2.57,28.0,4.26,0.0,0.0,0.0,0.0,3.2,0.0,0.42,False,International,Various,Mild,0.074,0.122,0.804,44.1,False,True,False,False,moderate_density
Banana split,Ice cream and frozen dairy desserts,199.0,2.42,32.59,6.88,0.0,0.0,0.0,0.0,4.5,0.0,0.17,False,International,Various,Mild,0.058,0.164,0.778,41.3,False,True,False,False,moderate_density
"Bananas, raw",Fruits and Fruit Juices,371.0,1.09,22.8,0.33,0.0,0.0,0.0,0.0,8.7,0.0,0.26,False,International,Various,Mild,0.045,0.014,0.941,44.7,True,True,False,False,high_density
"Bananas, overripe, raw",Fruits and Fruit Juices,85.0,0.73,20.1,0.22,0.0,0.0,0.0,0.0,9.7,0.0,0.0,False,International,Various,Mild,0.035,0.01,0.955,43.9,True,True,False,False,low_density
"Cake or cupcake, banana",Cakes and pies,379.0,2.47,53.07,17.51,0.0,0.0,0.0,0.0,1.0,0.0,0.88,False,International,Various,Mild,0.034,0.24,0.726,30.1,False,False,False,False,high_density
"Melon, banana (Navajo)",American Indian/Alaska Native Foods,90.0,0.84,4.06,0.2,0.0,0.0,0.0,0.0,8.1,0.0,0.21,False,International,Various,Mild,0.165,0.039,0.796,43.9,True,True,False,False,low_density
"Pepper, banana, raw",Vegetables and Vegetable Products,27.0,1.66,5.35,0.45,0.0,0.0,0.0,0.0,82.7,0.0,0.46,False,International,Various,Mild,0.223,0.06,0.717,61.1,True,True,False,False,low_density
"Peppers, banana, raw",Other vegetables and combinations,27.0,1.66,5.35,0.45,0.0,0.0,0.0,0.0,82.7,0.0,0.46,False,International,Various,Mild,0.223,0.06,0.717,61.1,True,True,False,False,low_density
"Pie, banana cream",Cakes and pies,284.0,2.42,32.35,16.17,0.0,0.0,0.0,0.0,0.8,0.0,0.6,False,International,Various,Mild,0.048,0.317,0.635,31.2,False,False,False,False,moderate_density
"Snacks, banana chips",Snacks,519.0,2.3,58.4,33.6,0.0,0.0,0.0,0.0,6.3,0.0,1.25,False,International,Various,Mild,0.024,0.356,0.619,14.6,False,False,False,False,high_density
"Orange, raw",Citrus fruits,50.0,0.92,11.78,0.14,0.0,0.0,0.0,0.0,56.2,0.0,0.22,False,International,Various,Mild,0.072,0.011,0.917,53.9,True,True,False,False,low_density
